Level;Code;Code;Description;Self-explanatory texts in English;Self-explanatory texts in French;Self-explanatory texts in German
4;530310000080;5303.10;- Yute y demás fibras textiles del líber, en bruto o enriados;Jute and other textile bast fibres, raw or retted (excl. flax, true hemp and ramie);Jute et autres fibres textiles libériennes, bruts ou rouis (à l'excl. du lin, du chanvre et de la ramie);Jute und andere textile Bastfasern, roh oder geröstet (ausg. Flachs, Hanf und Ramie)
4;530390000080;5303.90;- Los demás;"Jute and other textile bast fibres, processed but not spun; tow and waste of such fibres, incl. yarn waste and garnetted stock (excl. retted fibres of this kind, flax, true hemp and ramie)";"Jute et autres fibres textiles libériennes, travaillés mais non-filés (à l'excl. des produits rouis ainsi que du lin, du chanvre et de la ramie); étoupes et déchets de ces fibres, y.c. les déchets de fils et les effilochés";Jute und andere textile Bastfasern, bearbeitet, jedoch nichtversponnen sowie Werg und Abfälle von diesen Spinnstoffen, einschl. Garnabfälle und Reißspinnstoff (ausg. derartige geröstete Bastfasern sowie Flachs, Hanf und Ramie)
3;530500000080;5305.00;" Coco, abacá [cáñamo de manila (Musa textilis Nee)], ramio y demás fibras textiles vegetales no expresadas ni comprendidas en otra parte, en bruto o trabajadas, pero sin hilar; estopas y desperdicios de estas fibras, incluidos los desperdicios de hilados y las hilachas";"Coconut, abaca ""Manila hemp or Musa textilis Nee"", ramie, agave and other vegetable textile fibres, n.e.s., raw or processed, but not spun; tow, noils and waste of such fibres, incl. yarn waste and garnetted stock";"Coco, abaca [chanvre de Manille ou 'Musa textilis Nee'], ramie, agave et autres fibres textiles végétales, n.d.a., bruts ou travaillés mais non-filés; étoupes et déchets de ces fibres, y.c. les déchets de fils et les effilochés";"Kokos, Abaca ""Manilahanf oder Musa textilis Nee"", Ramie, Agave und andere pflanzliche Spinnstoffe, a.n.g., roh oder bearbeitet, jedoch nichtversponnen; Werg und Abfälle von diesen Spinnstoffen, einschl. Garnabfälle und Reißspinnstoff"
3;530600000080;53.06; Hilados de lino;Flax yarn;Fils de lin;"Garne aus Flachs ""Leinengarne"""
4;530610000080;5306.10;- Sencillos;Single flax yarn;Fils de lin simples;"Garne aus Flachs ""Leinengarne"", ungezwirnt"
4;530620000080;5306.20;- Retorcidos o cableados;"Multiple ""folded"" or cabled flax yarn";Fils de lin retors ou câblés;"Garne aus Flachs ""Leinengarne"", gezwirnt"
3;530700000080;53.07; Hilados de yute o demás fibras textiles del líber de la partida 5303;Yarn of jute or of other textile bast fibres of heading 5303;Fils de jute ou d'autres fibres textiles libériennes du n° 5303;Garne aus Jute oder anderen textilen Bastfasern der Pos. 5303
4;530710000080;5307.10;- Sencillos;Single yarn of jute or of other textile bast fibres of heading 5303;Fils de jute ou d'autres fibres textiles libériennes du n° 5303, simples;Garne aus Jute oder anderen textilen Bastfasern der Pos. 5303, ungezwirnt
4;530720000080;5307.20;- Retorcidos o cableados;"Multiple ""folded"" or cabled yarn of jute or of other textile bast fibres of heading 5303";Fils de jute ou d'autres fibres textiles libériennes du n° 5303, retors ou câblés;Garne aus Jute oder anderen textilen Bastfasern der Pos. 5303, gezwirnt
3;530800000080;53.08;" Hilados de las demás fibras textiles vegetales; hilados de papel";"Yarn of vegetable textile fibres; paper yarn (excl. flax yarn, yarn of jute or of other textile bast fibres of heading 5303 and cotton yarn)";"Fils de fibres textiles végétales (à l'excl. des fils de coton, de lin, de jute ou d'autres fibres textiles libériennes du n° 5303); fils de papier";"Garne aus pflanzlichen Spinnstoffen sowie Papiergarne (ausg. aus Flachs ""Leinengarne"", Garne aus Jute oder anderen textilen Bastfasern der Pos. 5303 sowie Baumwollgarne)"
4;530810000080;5308.10;- Hilados de coco;"Coconut ""coir"" yarn";Fils de coco;Kokosgarne
4;530820000080;5308.20;- Hilados de cáñamo;Hemp yarn;Fils de chanvre;Hanfgarne
4;530890000080;5308.90;- Los demás;"Yarn of vegetable textile fibres (excl. flax yarn, yarn of jute or of other textile bast fibres of heading 5303, coconut ""coir"" yarn, hemp yarn and cotton yarn)";Fils de fibres textiles végétales (à l'excl. des fils de coton, de lin, de coco, de chanvre, de jute ou d'autres fibres textiles libériennes du n° 5303);"Garne aus pflanzlichen Spinnstoffen (ausg. aus Flachs ""Leinengarne"", Garne aus Jute oder anderen textilen Bastfasern der Pos. 5303, Kokosgarne, Hanfgarne sowie Baumwollgarne)"
3;530900000080;53.09; Tejidos de lino;Woven fabrics of flax;Tissus de lin;"Gewebe aus Flachs ""Leinengewebe"""
4;530911000010;;- Con un contenido de lino superior o igual al 85 % en peso;;;
5;530911000080;5309.11;-- Crudos o blanqueados;Woven fabrics of flax, containing >= 85% flax by weight, unbleached or bleached;Tissus de lin, contenant >= 85% en poids de lin, écrus ou blanchis;"Gewebe aus Flachs ""Leinengewebe"", mit einem Anteil an Flachs von >= 85 GHT, roh oder gebleicht"
5;530919000080;5309.19;-- Los demás;Woven fabrics of flax, containing >= 85% flax by weight, dyed, made of yarn of different colours, or printed;Tissus de lin, contenant >= 85% en poids de lin, teints ou en fils de diverses couleurs ou imprimés;"Gewebe aus Flachs ""Leinengewebe"", mit einem Anteil an Flachs von >= 85 GHT, gefärbt, buntgewebt oder bedruckt"
4;530921000010;;- Con un contenido de lino inferior al 85 % en peso;;;
5;530921000080;5309.21;-- Crudos o blanqueados;Woven fabrics of flax, containing predominantly, but < 85% flax by weight, unbleached or bleached;Tissus de lin, contenant en prédominance, mais < 85% en poids de lin, écrus ou blanchis;"Gewebe aus überwiegend, jedoch < 85 GHT Flachs ""Leinengewebe"", roh oder gebleicht"
5;530929000080;5309.29;-- Los demás;Woven fabrics of flax, containing predominantly, but < 85% flax by weight, dyed, made of yarn of different colours, or printed;Tissus de lin, contenant en prédominance, mais < 85% en poids de lin, teints ou en fils de diverses couleurs ou imprimés;"Gewebe aus überwiegend, jedoch < 85 GHT Flachs ""Leinengewebe"", gefärbt, buntgewebt oder bedruckt"
3;531000000080;53.10; Tejidos de yute o demás fibras textiles del líber de la partida 5303;Woven fabrics of jute or of other textile bast fibres of heading 5303;Tissus de jute ou d'autres fibres textiles libériennes du n° 5303;Gewebe aus Jute oder anderen textilen Bastfasern der Pos. 5303
4;531010000080;5310.10;- Crudos;Woven fabrics of jute or of other textile bast fibres of heading 5303, unbleached;Tissus de jute ou d'autres fibres textiles libériennes du n° 5303, écrus;Gewebe aus Jute oder anderen textilen Bastfasern der Pos. 5303, roh
4;531090000080;5310.90;- Los demás;Woven fabrics of jute or of other textile bast fibres of heading 5303, bleached, dyed, made of yarn of different colours, or printed;Tissus de jute ou d'autres fibres textiles libériennes du n° 5303, blanchis, teints, en fils de diverses couleurs ou imprimés;Gewebe aus Jute oder anderen textilen Bastfasern der Pos. 5303, gebleicht, gefärbt, buntgewebt oder bedruckt
3;531100000080;5311.00;" Tejidos de las demás fibras textiles vegetales; tejidos de hilados de papel";"Woven fabrics of other vegetable textile fibres; woven fabrics of paper yarn (excl. those of flax, jute, other textile bast fibres of heading 5303 and cotton yarn)";"Tissus de fibres textiles végétales (à l'excl. des tissus de coton, de lin, de jute ou d'autres fibres textiles libériennes du n° 5303); tissus de fils de papier";"Gewebe aus pflanzlichen Spinnstoffen sowie Gewebe aus Papiergarnen (ausg. aus Flachs ""Leinengewebe"", Gewebe aus Jute oder anderen textilen Bastfasern der Pos. 5303 sowie Baumwollgewebe)"
2;540021000090;54;" CAPÍTULO 54 - FILAMENTOS SINTÉTICOS O ARTIFICIALES; TIRAS Y FORMAS SIMILARES DE MATERIA TEXTIL SINTÉTICA O ARTIFICAL";"MAN-MADE FILAMENTS; STRIP AND THE LIKE OF MAN-MADE TEXTILE MATERIALS";"FILAMENTS SYNTHÉTIQUES OU ARTIFICIELS; lames et formes similaires en matières textiles synthétiques ou artificielles";"SYNTHETISCHE ODER KÜNSTLICHE FILAMENTE; Streifen und dergleichen aus synthetischer oder künstlicher Spinnmasse"
3;540100000080;54.01; Hilo de coser de filamentos sintéticos o artificiales, incluso acondicionado para la venta al por menor;Sewing thread of man-made filaments, whether or not put up for retail sale;Fils à coudre de filaments synthétiques ou artificiels, même conditionnés pour la vente au détail;Nähgarne aus synthetischen oder künstlichen Filamenten, auch in Aufmachungen für den Einzelverkauf
4;540110000080;5401.10;- De filamentos sintéticos;Sewing thread of synthetic filaments, whether or not put up for retail sale;Fils à coudre de filaments synthétiques, même conditionnés pour la vente au détail;Nähgarne aus synthetischen Filamenten, auch in Aufmachungen für den Einzelverkauf
4;540120000080;5401.20;- De filamentos artificiales;Sewing thread of artificial filaments, whether or not put up for retail sale;Fils à coudre de filaments artificiels, même conditionnés pour la vente au détail;Nähgarne aus künstlichen Filamenten, auch in Aufmachungen für den Einzelverkauf
3;540200000080;54.02; Hilados de filamentos sintéticos (excepto el hilo de coser) sin acondicionar para la venta al por menor, incluidos los monofilamentos sintéticos de título inferior a 67 decitex;Synthetic filament yarn, incl. synthetic monofilaments of < 67 decitex (excl. sewing thread and yarn put up for retail sale);Fils de filaments synthétiques (autres que les fils à coudre), non-conditionnés pour la vente au détail, y.c. les monofilaments synthétiques de moins de 67 décitex;Garne aus synthetischen Filamenten, einschl. synthetische Monofile von < 67 dtex (ausg. Nähgarne sowie Garne in Aufmachungen für den Einzelverkauf)
4;540211000010;;- Hilados de alta tenacidad de nailon o demás poliamidas;;;
5;540211000080;5402.11;-- De aramidas;High-tenacity filament yarn of aramids (excl. sewing thread and yarn put up for retail sale);Fils à haute ténacité de filaments d'aramides, non-conditionnés pour la vente au détail (à l'excl. des fils à coudre);Garne, hochfest, aus Aramid-Filamenten (ausg. Nähgarne sowie Garne in Aufmachungen für den Einzelverkauf)
5;540219000080;5402.19;-- Los demás;High-tenacity filament yarn of nylon or other polyamides (excl. sewing thread, yarn put up for retail sale and high-tenacity filament yarn of aramids);Fils à haute ténacité de filaments de nylon ou d'autres polyamides, non-conditionnés pour la vente au détail (à l'excl. des fils à coudre et des fils de filaments d'aramides);Garne, hochfest, aus Nylon- oder anderen Polyamid-Filamenten (ausg. Nähgarne, Garne in Aufmachungen für den Einzelverkauf sowie Garne aus Aramid-Filamenten)
4;540220000080;5402.20;- Hilados de alta tenacidad de poliésteres;High-tenacity filament yarn of polyesters (excl. that put up for retail sale);Fils à haute ténacité de filaments de polyesters, non-conditionnés pour la vente au détail (à l'excl. des fils à coudre);Garne, hochfest, aus Polyester-Filamenten (ausg. Nähgarne sowie Garne in Aufmachungen für den Einzelverkauf)
4;540231000010;;- Hilados texturados;;;
5;540231000080;5402.31;-- De nailon o demás poliamidas, de título inferior o igual a 50 tex por hilo sencillo;Textured filament yarn of nylon or other polyamides, with a linear density of <= 50 tex per single yarn (excl. sewing thread and yarn put up for retail sale);Fils texturés de filaments de nylon ou d'autres polyamides, titrant en fils simples <= 50 tex, non-conditionnés pour la vente au détail (à l'excl. des fils à coudre);Garne, texturiert, aus Nylon- oder anderen Polyamid-Filamenten, mit einem Titer der einfachen Garne von <= 50 tex (ausg. Nähgarne sowie Garne in Aufmachungen für den Einzelverkauf)
5;540232000080;5402.32;-- De nailon o demás poliamidas, de título superior a 50 tex por hilo sencillo;Textured filament yarn of nylon or other polyamides, with a linear density of > 50 tex per single yarn (excl. sewing thread and yarn put up for retail sale);Fils texturés de filaments de nylon ou d'autres polyamides, titrant en fils simples > 50 tex, non-conditionnés pour la vente au détail (à l'excl. des fils à coudre);Garne, texturiert, aus Nylon- oder anderen Polyamid-Filamenten, mit einem Titer der einfachen Garne von > 50 tex (ausg. Nähgarne sowie Garne in Aufmachungen für den Einzelverkauf)
5;540233000080;5402.33;-- De poliésteres;Textured filament yarn of polyester (excl. that put up for retail sale);Fils texturés de filaments de polyesters, non-conditionnés pour la vente au détail (à l'excl. des fils à coudre);Garne, texturiert, aus Polyester-Filamenten (ausg. Nähgarne sowie Garne in Aufmachungen für den Einzelverkauf)
5;540234000080;5402.34;-- De polipropileno;Textured synthetic filament yarn of polypropylene (excl. sewing thread and yarn put up for retail sale);Fils texturés de filaments de polypropylène, non-conditionnés pour la vente au détail (à l'excl. des fils à coudre);Garne, texturiert, aus Polypropylen-Filamenten (ausg. Nähgarne sowie Garne in Aufmachungen für den Einzelverkauf)
5;540239000080;5402.39;-- Los demás;Textured synthetic filament yarn (excl. sewing thread, yarn put up for retail sale and textured filament yarn of polypropylene, polyester, nylon or other polyamides);Fils texturés de filaments synthétiques, non-conditionnés pour la vente au détail (à l'excl. des fils à coudre ainsi que des fils texturés de polypropylène, de polyesters, de nylon ou d'autres polyamides);Garne, texturiert, aus synthetischen Filamenten (ausg. Nähgarne, Garne in Aufmachungen für den Einzelverkauf sowie texturierte Garne aus Polypropylen-, Polyester-, Nylon- oder anderen Polyamid-Filamenten)
4;540244000010;;- Los demás hilados sencillos sin torsión o con una torsión inferior o igual a 50 vueltas por metro;;;
5;540244000080;5402.44;-- De elastómeros;Synthetic filament elastomeric yarn, single, untwisted or with a twist of <= 50 turns per metre (excl. sewing thread, yarn put up for retail sale, textured yarn and filament yarn of polyester, nylon or other polyamides);Fils simples, d'élastomères de filaments synthétiques, sans torsion ou d'une torsion <= 50 tours/m, non-conditionnés pour la vente au détail (à l'excl. des fils à coudre, des fils texturés ainsi que des fils de polyesters, de nylon ou d'autres polyamides);Elastomergarne aus synthetischen Filamenten, ungezwirnt, ungedreht oder mit <= 50 Drehungen je Meter (ausg. Nähgarne, Garne in Aufmachungen für den Einzelverkauf, texturierte Garne sowie Garne aus Polyester-, Nylon- oder anderen Polyamid- Filamenten)
5;540245000080;5402.45;-- Los demás, de nailon o demás poliamidas;Filament yarn of nylon or other polyamides, incl. monofilament of < 67 decitex, single, untwisted or with a twist of <= 50 turns per metre (excl. sewing thread, yarn put up for retail sale, elastomeric yarn, high-tenacity yarn and textured yarn);Fils simples, de filaments de nylon ou d'autres polyamides, sans torsion ou d'une torsion <= 50 tours/m, non-conditionnés pour la vente au détail, y.c. les monofilaments de moins de 67 décitex (à l'excl. des fils à coudre, des fils d'élastomères, des fils à haute ténacité ou des fils texturés);Garne aus Nylon- oder anderen Polyamid-Filamenten, einschl. Monofile von < 67 dtex, ungezwirnt, ungedreht oder mit <= 50 Drehungen je Meter (ausg. Nähgarne, Garne in Aufmachungen für den Einzelverkauf sowie Elastomergarne und hochfeste oder texturierte Garne)
5;540246000080;5402.46;-- Los demás, de poliésteres parcialmente orientados;Filament yarn of polyester, incl. monofilament of < 67 decitex, single, untwisted or with a twist of <= 50 turns per metre, partially oriented (excl. elastomeric yarn, sewing thread, yarn put up for retail sale and textured yarn);Fils simples, de filaments de polyesters, partiellement orientés, sans torsion ou d'une torsion <= 50 tours/m, non-conditionnés pour la vente au détail, y.c. les monofilaments de moins de 67 décitex (à l'excl. des fils d'élastomères, des fils à coudre et des fils texturés);Garne aus Polyester-Filamenten, einschl. Monofile von < 67 dtex, ungezwirnt, ungedreht oder mit <= 50 Drehungen je Meter, teilverstreckt (ausg. Elastomergarne, Nähgarne, Garne in Aufmachungen für den Einzelverkauf sowie texturierte Garne)
5;540247000080;5402.47;-- Los demás, de poliésteres;Filament yarn of polyester, incl. monofilament of < 67 decitex, single, untwisted or with a twist of <= 50 turns per metre (excl. elastomeric yarn, sewing thread, yarn put up for retail sale, textured yarn and yarn of partially oriented polyester filament);Fils simples, de filaments de polyesters, sans torsion ou d'une torsion <= 50 tours/m, non-conditionnés pour la vente au détail, y.c. les monofilaments de moins de 67 décitex (à l'excl. des fils d'élastomères, des fils à coudre, des fils texturés et des fils de polyesters, partiellement orientés);Garne aus Polyester-Filamenten, einschl. Monofile von < 67 dtex, ungezwirnt, ungedreht oder mit <= 50 Drehungen je Meter (ausg. Elastomergarne, Nähgarne, Garne in Aufmachungen für den Einzelverkauf, texturierte Garne sowie Garne aus teilverstreckten Polyester-Filamenten)
5;540248000080;5402.48;-- Los demás, de polipropileno;Filament yarn of polypropylene, incl. monofilament of < 67 decitex, single, untwisted or with a twist of <= 50 turns per metre (excl. elastomeric yarn, sewing thread, yarn put up for retail sale and textured yarn);Fils simples, de filaments de polypropylène, sans torsion ou d'une torsion <= 50 tours/m, non-conditionnés pour la vente au détail, y.c. les monofilaments de moins de 67 décitex (à l'excl. des fils d'élastomères, des fils à coudre et des fils texturés);Garne aus Polypropylen-Filamenten, einschl. Monofile von < 67 dtex, ungezwirnt, ungedreht oder mit <= 50 Drehungen je Meter (ausg. Elastomergarne, Nähgarne, Garne in Aufmachungen für den Einzelverkauf sowie texturierte Garne)
5;540249000080;5402.49;-- Los demás;Synthetic filament yarn, incl. synthetic monofilament of < 67 decitex, single, untwisted or with a twist of <= 50 turns per metre (excl. sewing thread, yarn put up for retail sale, textured yarn, elastomeric yarn and filament yarn of polyester, nylon or other polyamides);Fils simples, de filaments synthétiques, sans torsion ou d'une torsion <= 50 tours/m, non-conditionnés pour la vente au détail, y.c. les monofilaments synthétiques de moins de 67 décitex (à l'excl. des fils à coudre, des fils texturés ainsi que des fils d'élastomères, des fils de polyesters, de nylon ou d'autres polyamides);Garne aus synthetischen Filamenten, einschl. synthetische Monofile von < 67 dtex, ungezwirnt, ungedreht oder mit <= 50 Drehungen je Meter (ausg. Nähgarne, Garne in Aufmachungen für den Einzelverkauf, texturierte Garne sowie Elastomergarne, Garne aus Polyester-, Nylon- oder anderen Polyamid-Filamenten)
4;540251000010;;- Los demás hilados sencillos con una torsión superior a 50 vueltas por metro;;;
5;540251000080;5402.51;-- De nailon o demás poliamidas;Filament yarn of nylon or other polyamides, incl. monofilament of < 67 decitex, single, with a twist of > 50 turns per metre (excl. sewing thread, yarn put up for retail sale, high-tenacity yarn or textured yarn);Fils simples, de filaments de nylon ou d'autres polyamides, d'une torsion > 50 tours/m, non-conditionnés pour la vente au détail, y.c. les monofilaments de moins de 67 décitex (à l'excl. des fils à coudre, des fils à haute ténacité et des fils texturés);Garne aus Nylon- oder anderen Polyamid-Filamenten, einschl. Monofile von < 67 dtex, ungezwirnt, mit > 50 Drehungen je Meter (ausg. Nähgarne, Garne in Aufmachungen für den Einzelverkauf sowie hochfeste oder texturierte Garne)
5;540252000080;5402.52;-- De poliésteres;Filament yarn of polyester, incl. monofilament of < 67 decitex, single, with a twist of > 50 turns per metre (excl. sewing thread, yarn put up for retail sale and textured yarn);Fils simples, de filaments de polyesters, d'une torsion > 50 tours/m, non-conditionnés pour la vente au détail, y.c. les monofilaments de moins de 67 décitex (à l'excl. des fils à coudre et des fils texturés);Garne aus Polyester-Filamenten, einschl. Monofile von < 67 dtex, ungezwirnt, mit > 50 Drehungen je Meter (ausg. Nähgarne, Garne in Aufmachungen für den Einzelverkauf sowie texturierte Garne)
5;540259000080;5402.59;-- Los demás;Synthetic filament yarn, incl. synthetic monofilament of < 67 decitex, single, with a twist of > 50 turns per metre (excl. sewing thread, yarn put up for retail sale, textured yarn and filament yarn of polyester, nylon or other polyamides);Fils simples, de filaments synthétiques, d'une torsion > 50 tours/m, non-conditionnés pour la vente au détail, y.c. les monofilaments synthétiques de moins de 67 décitex (à l'excl. des fils à coudre, des fils texturés et des fils de filaments de polyesters, de nylon ou d'autres polyamides);Garne aus synthetischen Filamenten, einschl. synthetische Monofile von < 67 dtex, ungezwirnt, mit > 50 Drehungen je Meter (ausg. Nähgarne, Garne in Aufmachungen für den Einzelverkauf, texturierte Garne sowie Garne aus Polyester-, Nylonoder anderen Polyamid-Filamenten)
4;540261000010;;- Los demás hilados retorcidos o cableados;;;
5;540261000080;5402.61;-- De nailon o demás poliamidas;"Multiple ""folded"" or cabled filament yarn of nylon or other polyamides, incl. monofilament of < 67 decitex (excl. sewing thread, yarn put up for retail sale and high-tenacity yarn or textured yarn)";Fils retors ou câblés, de filaments de nylon ou d'autres polyamides, non-conditionnés pour la vente au détail, y.c. les monofilaments de moins de 67 décitex (à l'excl. des fils à coudre, des fils à haute ténacité ou des fils texturés);Garne aus Nylon- oder anderen Polyamid-Filamenten, einschl. Monofile von < 67 dtex, gezwirnt (ausg. Nähgarne, Garne in Aufmachungen für den Einzelverkauf sowie hochfeste oder texturierte Garne)
5;540262000080;5402.62;-- De poliésteres;"Multiple ""folded"" or cabled filament yarn of polyester, incl. monofilament of < 67 decitex (excl. sewing thread, yarn put up for retail sale and textured yarn)";Fils retors ou câblés, de filaments de polyesters, non-conditionnés pour la vente au détail, y.c. les monofilaments de moins de 67 décitex (à l'excl. des fils à coudre et des fils texturés);Garne aus Polyester-Filamenten, einschl. Monofile von < 67 dtex, gezwirnt (ausg. Nähgarne, Garne in Aufmachungen für den Einzelverkauf sowie texturierte Garne)
5;540269000080;5402.69;-- Los demás;"Multiple ""folded"" or cabled synthetic filament yarn, incl. synthetic monofilament of < 67 decitex (excl. sewing thread, yarn put up for retail sale, textured yarn and filament yarn of polyester, nylon or other polyamides)";Fils retors ou câblés, de filaments synthétiques, non-conditionnés pour la vente au détail, y.c. les monofilaments synthétiques de moins de 67 décitex (à l'excl. des fils à coudre, des fils texturés et des fils de filaments de polyesters, de nylon ou d'autres polyamides);Garne aus synthetischen Filamenten, einschl. synthetische Monofile von < 67 dtex, gezwirnt (ausg. Nähgarne, Garne in Aufmachungen für den Einzelverkauf, texturierte Garne sowie Garne aus Polyester-, Nylon- oder anderen Polyamid-Filamenten)
3;540300000080;54.03; Hilados de filamentos artificiales (excepto el hilo de coser) sin acondicionar para la venta al por menor, incluidos los monofilamentos artificiales de título inferior a 67 decitex;Artificial filament yarn, incl. artificial monofilament of < 67 decitex (excl. sewing thread and yarn put up for retail sale);Fils de filaments artificiels y.c. les monofilaments artificiels de moins de 67 décitex (à l'excl. des fils à coudre et conditionnés pour la vente au détail);Garne aus künstlichen Filamenten, einschl. künstliche Monofile von < 67 dtex (ausg. Nähgarne sowie Garne in Aufmachungen für den Einzelverkauf)
4;540310000080;5403.10;- Hilados de alta tenacidad de rayón viscosa;High-tenacity yarn of viscose rayon filament (excl. sewing thread and yarn put up for retail sale);Fils à haute ténacité de filaments de rayonne viscose (à l'excl. des fils à coudre et conditionnés pour la vente au détail);Garne, hochfest, aus Viskose-Filamenten (ausg. Nähgarne sowie Garne in Aufmachungen für den Einzelverkauf)
4;540331000010;;- Los demás hilados sencillos;;;
5;540331000080;5403.31;-- De rayón viscosa, sin torsión o con una torsión inferior o igual a 120 vueltas por metro;Yarn of viscose rayon filament, incl. monofilament of < 67 decitex, single, untwisted or with a twist of <= 120 turns per metre (excl. sewing thread, high-tenacity yarn and yarn put up for retail sale);Fils simples, de filaments de rayonne viscose, sans torsion ou d'une torsion <= 120 tours/m, y.c. les monofilaments de moins de 67 décitex (à l'excl. des fils à coudre, des fils à haute ténacité ainsi que des fils conditionnés pour la vente au détail);Garne aus Viskose-Filamenten, einschl. Monofile von < 67 dtex, ungezwirnt, ungedreht oder mit <= 120 Drehungen je Meter (ausg. Nähgarne, hochfeste Garne sowie Garne in Aufmachungen für den Einzelverkauf)
5;540332000080;5403.32;-- De rayón viscosa, con una torsión superior a 120 vueltas por metro;Yarn of viscose rayon filament, incl. monofilament of < 67 decitex, single, with a twist of > 120 turns per metre (excl. sewing thread, high-tenacity yarn and yarn put up for retail sale);Fils simples, de filaments de rayonne viscose, d'une torsion > 120 tours/m, y.c. les monofilaments de moins de 67 décitex (à l'excl. des fils à coudre, des fils à haute ténacité ainsi que des fils conditionnés pour la vente au détail);Garne aus Viskose-Filamenten, einschl. Monofile von < 67 dtex, ungezwirnt, mit > 120 Drehungen je Meter (ausg. Nähgarne, hochfeste Garne sowie Garne in Aufmachungen für den Einzelverkauf)
5;540333000080;5403.33;-- De acetato de celulosa;Filament yarn of cellulose acetate, incl. monofilament of < 67 decitex, single (excl. sewing thread, high-tenacity yarn and yarn put up for retail sale);Fils simples, de filaments d'acétate de cellulose, y.c. les monofilaments de moins de 67 décitex (à l'excl. des fils à coudre, des fils à haute ténacité ainsi que des fils conditionnés pour la vente au détail);Garne aus Celluloseacetat-Filamenten, einschl. Monofile von < 67 dtex, ungezwirnt (ausg. Nähgarne, hochfeste Garne sowie Garne in Aufmachungen für den Einzelverkauf)
5;540339000080;5403.39;-- Los demás;Artificial filament yarn, incl. artificial monofilament of < 67 decitex, single (excl. sewing thread, filament yarn of viscose or cellulose acetate and yarn put up for retail sale);Fils simples, de filaments artificiels, y.c. les monofilaments artificiels de moins de 67 décitex (à l'excl. des fils à coudre, des fils de filaments de rayonne viscose ou d'acétate de cellulose ainsi que des fils conditionnés pour la vente au détail);Garne aus künstlichen Filamenten, einschl. künstliche Monofile von < 67 dtex, ungezwirnt (ausg. Nähgarne, Garne aus Viskose- oder Celluloseacetat-Filamenten sowie Garne in Aufmachungen für den Einzelverkauf)
4;540341000010;;- Los demás hilados retorcidos o cableados;;;
5;540341000080;5403.41;-- De rayón viscosa;"Multiple ""folded"" or cabled filament yarn of viscose rayon, incl. monofilament of < 67 decitex (excl. sewing thread, high-tenacity yarn and yarn put up for retail sale)";Fils retors ou câblés, de filaments de rayonne viscose, y.c. les monofilaments de moins de 67 décitex (à l'excl. des fils à coudre, des fils à haute ténacité ainsi que des fils conditionnés pour la vente au détail);Garne aus Viskose-Filamenten, einschl. Monofile von < 67 dtex, gezwirnt (ausg. Nähgarne, hochfeste Garne sowie Garne in Aufmachungen für den Einzelverkauf)
5;540342000080;5403.42;-- De acetato de celulosa;"Multiple ""folded"" or cabled filament yarn of cellulose acetate, incl. monofilament of < 67 decitex (excl. sewing thread, high-tenacity yarn and yarn put up for retail sale)";Fils retors ou câblés, de filaments d'acétate de cellulose, y.c. les monofilaments de moins de 67 décitex (à l'excl. des fils à coudre, des fils à haute ténacité ainsi que des fils conditionnés pour la vente au détail);Garne aus Celluloseacetat-Filamenten, einschl. Monofile von < 67 dtex, gezwirnt (ausg. Nähgarne, hochfeste Garne sowie Garne in Aufmachungen für den Einzelverkauf)
5;540349000080;5403.49;-- Los demás;"Multiple ""folded"" or cabled artificial filament yarn, incl. artificial monofilament of < 67 decitex (excl. sewing thread, filament yarn of viscose or cellulose acetate and yarn put up for retail sale)";Fils retors ou câblés, de filaments artificiels, y.c. les monofilaments artificiels de moins de 67 décitex (à l'excl. des fils à coudre, des fils de filaments de rayonne viscose ou d'acétate de cellulose ainsi que des fils conditionnés pour la vente au détail);Garne aus künstlichen Filamenten, einschl. künstliche Monofile von < 67 dtex, gezwirnt (ausg. Nähgarne, Garne aus Viskose- oder Celluloseacetat-Filamenten sowie Garne in Aufmachungen für den Einzelverkauf)
3;540400000080;54.04;" Monofilamentos sintéticos de título superior o igual a 67 decitex y cuya mayor dimensión de la sección transversal sea inferior o igual a 1 mm; tiras y formas similares (por ejemplo: paja artificial) de materia textil sintética, de anchura aparente inferior o igual a 5 mm";"Synthetic monofilament of >= 67 decitex and with a cross sectional dimension of <= 1 mm; strip and the like, e.g. artificial straw, of synthetic textile material, with an apparent width of <= 5 mm";"Monofilaments synthétiques de >= 67 décitex et dont la plus grande dimension de la coupe transversale <= 1 mm; lames et formes simil. [paille artificielle, p.ex.], en matières textiles synthétiques, d'une largeur apparente <= 5 mm";"Monofile, synthetisch, von >= 67 dtex und einem größten Durchmesser von <= 1 mm; Streifen und dergl. ""z.B. künstliches Stroh"" aus synthetischer Spinnmasse, mit einer augenscheinlichen Breite von <= 5 mm"
4;540411000010;;- Monofilamentos;;;
5;540411000080;5404.11;-- De elastómeros;Elastomeric monofilament of >= 67 decitex and with a cross sectional dimension of <= 1 mm;Monofilaments d'élastomères de >= 67 décitex et dont la plus grande dimension de la coupe transversale <= 1 mm;Elastomer-Monofile von >= 67 dtex und einem größten Durchmesser von <= 1 mm
